id,duration_raw,gender,age,city,area,occupation,education,soundproof_wall,home_office,noise_impact,insulation,noise_traffic,noise_life,noise_construction,noise_business,noise_public,noise_animal,distance_source,time_period,eff_sleep_onset,eff_sleep_interrupt,eff_attention,eff_relationship,eff_mental,eff_physical,eff_hearing,eff_emotion,satisfaction,governance_satisfaction,coping_endure,coping_negotiate,coping_community,coping_protect,coping_official,coping_legal,coping_other,awareness_channel,awareness_policy,awareness_necessity,resp_gov,resp_property,resp_business,resp_resident,resp_other,meas_enforce,meas_law,meas_facility,meas_time,meas_publicity,meas_complaint,meas_planning,meas_other,open_text,duration
29,128秒,2,2,3,2,5,5,2,,3,3,3,3,5,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,4,4,2,1,1,1,1,0,1,1,1,1,1,1,1,0,无,128.0
30,90秒,1,2,3,1,5,5,2,,2,3,1,5,5,1,1,1,4,4,5,1,5,1,5,3,3,3,2,3,0,0,0,1,0,0,0,2,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,无,90.0
31,149秒,1,2,3,4,5,5,2,,4,3,3,3,3,1,1,2,3,4,1,1,1,2,1,1,1,1,5,3,0,0,1,1,0,0,0,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,0,无,149.0
32,268秒,2,4,2,1,3,4,2,3.0,3,4,4,4,3,2,3,2,3,4,5,5,4,5,4,5,5,5,2,3,0,1,1,0,0,0,0,3,2,2,1,1,1,1,0,1,1,1,1,1,1,1,0,完善法律制度,268.0
33,211秒,1,2,3,2,5,5,3,,5,2,1,1,5,3,2,1,1,4,2,2,5,3,2,1,1,3,4,4,0,1,1,1,0,0,0,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,加强治理,211.0
34,164秒,1,2,3,2,5,5,3,,3,3,1,4,1,3,2,1,3,3,4,3,3,2,3,2,2,3,3,3,1,1,0,1,0,0,0,1,1,3,0,0,0,1,0,0,0,1,1,1,0,0,0,不中,164.0
35,171秒,2,4,2,1,1,5,3,3.0,4,3,1,5,1,1,1,1,1,3,1,1,1,5,1,1,1,1,4,3,0,0,1,0,0,0,0,3,3,2,1,1,1,1,0,1,1,0,0,0,1,0,0,与个人征信挂钩,171.0
36,337秒,2,4,2,1,3,4,2,3.0,3,4,4,5,5,2,3,4,4,4,5,5,5,5,5,5,5,5,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,房子隔音性能非常需要提高,337.0
37,55秒,1,2,3,1,5,5,1,,3,2,3,3,3,3,3,3,1,4,5,5,5,5,5,5,5,5,4,5,0,0,0,0,0,0,1,5,5,5,0,0,0,0,1,0,0,0,0,0,0,1,0,无,55.0
38,197秒,2,3,2,1,3,5,1,3.0,5,2,2,1,1,1,1,2,1,4,1,1,1,1,2,1,1,1,5,4,0,0,1,1,0,0,0,2,2,2,1,0,1,0,0,0,0,1,1,1,1,0,0,争取做到更少噪音，造福广大群众,197.0
39,262秒,2,4,2,1,3,4,3,3.0,4,3,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,3,3,0,1,1,1,0,0,0,3,3,1,1,1,1,1,0,1,1,1,1,0,0,1,0,无,262.0
40,94秒,1,2,3,4,5,5,1,,5,3,4,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5,5,1,0,0,0,0,0,0,1,1,3,1,1,1,1,0,0,0,0,0,0,0,1,0,无,94.0
41,112秒,2,2,3,2,5,5,3,,3,3,4,2,5,1,1,1,3,3,5,3,5,3,5,5,3,5,2,3,1,0,0,1,0,0,0,3,3,2,1,1,1,1,0,1,1,1,1,1,1,1,0,无,112.0
42,476秒,2,4,2,5,4,3,3,1.0,3,3,3,3,1,1,1,1,4,2,5,5,5,5,5,5,5,5,2,3,1,1,0,0,0,0,1,2,2,4,1,1,1,1,0,1,1,1,1,0,1,1,0,说不清楚,476.0
43,460秒,1,4,2,1,3,4,1,3.0,4,3,3,4,2,2,4,2,3,3,5,5,5,5,5,5,5,5,2,3,0,0,1,1,0,0,0,4,4,1,1,1,1,1,0,1,1,1,1,1,1,1,0,政府要严惩违法行为，大力宣传。,460.0
44,144秒,1,4,2,4,3,4,2,3.0,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,0,0,0,0,0,0,5,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,没有,144.0
45,144秒,1,2,3,1,5,5,3,,3,3,1,5,3,1,1,1,4,4,5,1,3,5,5,5,5,5,3,3,0,1,1,0,0,0,0,3,2,2,1,1,1,1,0,1,1,1,1,1,1,1,0,无,144.0
46,1277秒,2,5,2,1,7,2,3,,4,3,3,3,4,2,1,1,1,3,3,3,3,2,2,1,1,2,3,3,0,1,1,0,0,0,0,2,2,2,1,1,0,0,0,0,1,0,1,0,1,0,0,加强法律法规与管控区域标准。,1277.0
47,128秒,2,3,2,1,3,5,1,2.0,5,2,2,2,2,2,2,3,1,3,2,2,2,2,2,2,2,2,4,4,0,0,1,0,0,0,0,3,3,2,1,1,1,1,0,1,1,1,0,0,0,0,0,无,128.0
48,275秒,2,3,2,1,1,5,1,2.0,3,3,3,1,4,4,4,3,2,3,3,2,2,2,1,1,1,2,4,4,0,0,1,0,0,0,0,2,2,2,1,1,1,1,0,1,1,1,1,1,1,1,0,无,275.0
49,271秒,2,4,2,1,3,5,1,1.0,3,3,5,3,1,1,1,1,3,1,4,4,4,4,4,4,4,4,4,4,1,0,1,0,0,0,0,4,4,2,1,1,1,1,0,1,1,1,1,0,1,1,0,目前还可以,271.0
50,171秒,1,2,3,5,5,5,3,,3,3,2,4,2,1,1,2,4,4,5,5,5,5,5,5,5,5,2,3,0,0,1,1,0,0,0,3,3,1,1,1,1,1,0,1,1,1,0,0,0,0,0,无,171.0
51,1088秒,1,5,2,1,7,4,3,,4,3,4,2,3,2,2,3,3,2,3,1,2,2,3,2,2,3,4,4,0,0,1,0,0,0,0,3,3,2,0,0,0,1,0,1,1,0,0,1,0,0,0,政府部门监管，完成管控法律法规，加强文明宣传，增强居民自律意识。,1088.0
52,199秒,2,4,2,1,3,5,1,2.0,4,2,2,1,2,1,2,1,1,4,3,4,4,3,3,3,3,3,4,4,0,0,1,0,1,1,0,4,4,3,0,0,1,0,0,1,0,1,1,1,1,1,0,政府职能部门重视，相关单位人员的配合很要紧。多宣传强调，提高意识，优化生活环境，使宁波这个城市宜居文明更上一层楼。,199.0
53,202秒,2,3,2,4,3,4,3,3.0,3,3,3,3,3,1,1,3,3,1,4,4,4,3,4,2,3,4,3,3,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0,没有,202.0
54,358秒,2,4,2,1,3,4,1,3.0,5,2,1,1,3,1,1,1,3,1,1,1,1,1,2,1,1,2,5,4,1,0,1,1,0,0,0,3,3,1,1,1,1,1,0,1,1,1,1,1,1,1,0,避开市民睡觉时间,358.0
55,204秒,1,4,3,1,4,4,2,2.0,2,3,5,3,3,3,5,3,5,3,5,5,5,5,5,5,5,5,2,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,觉得没有投诉部门，基本都是投诉110或者1235，12345要转职能部门进度慢,204.0
56,419秒,2,4,2,1,3,3,1,3.0,3,3,4,2,4,3,3,3,3,2,5,4,4,3,4,3,4,4,2,3,0,0,1,0,0,0,0,3,3,2,0,0,1,0,0,0,1,0,1,1,0,1,0,没有,419.0
57,168秒,2,4,2,1,3,4,3,2.0,4,3,4,5,1,1,1,1,3,3,5,5,5,5,5,5,5,5,3,4,0,0,1,0,1,0,0,3,3,2,1,1,1,1,0,1,1,1,1,1,1,1,0,没有建议,168.0
58,354秒,2,3,2,1,3,5,1,2.0,4,2,3,1,2,1,1,1,4,1,3,3,4,1,4,1,1,3,4,4,0,0,1,0,1,0,0,3,3,2,1,1,1,1,0,1,0,0,1,0,0,1,0,加强文明宣强，优化投诉机制，提高办事效率,354.0
59,102秒,2,4,2,1,4,4,3,3.0,4,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,4,3,0,0,0,1,0,0,0,1,1,3,1,0,0,0,0,1,1,1,1,1,1,1,0,无,102.0
60,60秒,1,2,3,1,5,5,1,,5,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,1,5,5,1,0,0,0,0,1,1,1,1,1,1,1,1,0,无,60.0
61,402秒,2,4,2,4,3,2,2,2.0,4,4,5,3,2,1,1,1,5,3,5,3,5,1,5,5,5,5,2,3,1,0,0,0,0,0,0,5,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,无,402.0
62,156秒,1,2,2,1,5,3,2,,2,3,2,3,1,1,1,2,1,4,5,3,3,3,5,2,3,3,3,3,0,0,1,1,0,0,0,3,3,1,0,1,1,0,0,0,1,1,1,0,0,1,0,无,156.0
63,80秒,1,2,2,1,5,5,3,,3,3,4,2,3,1,1,2,1,3,3,2,4,3,4,4,4,3,4,4,0,1,1,1,1,1,0,3,3,2,1,1,1,1,0,1,1,1,1,1,1,1,0,无,80.0
65,312秒,1,2,2,3,5,3,1,,2,3,5,3,3,1,2,4,3,4,4,3,4,2,3,1,1,2,3,4,1,0,0,0,0,0,0,3,1,2,1,1,1,1,0,0,0,1,1,1,1,0,0,街边房噪音无可避免，希望能尽量改变城市布局,312.0
66,221秒,1,2,1,1,5,6,1,,3,2,3,2,1,2,2,1,3,4,4,2,3,3,4,3,3,4,4,4,0,0,0,1,0,0,0,2,2,2,1,1,1,1,0,1,1,1,1,1,1,1,0,当前浙江城镇化与产业发展加速，交通、施工、工业及生活噪声问题凸显。应立足区域实际，优化城乡空间布局，落实声环境分区管控；强化多部门协同执法，加大违规惩戒力度；推广降噪技术与隔音设施，完善常态化监测；同时引导公众参与监督，构建源头防控、多元共治的噪声治理体系。,221.0
67,161秒,1,2,2,1,4,5,1,2.0,3,3,3,1,4,5,5,1,4,4,5,5,5,1,4,5,3,1,3,4,1,1,1,1,0,0,0,1,1,2,1,0,1,1,0,1,0,0,1,1,0,0,0,无,161.0
68,394秒,1,2,2,3,5,5,2,,2,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,3,3,1,1,1,1,1,0,0,0,0,0,0,0,1,0,无,394.0
69,138秒,1,2,2,3,5,5,3,,3,3,4,1,1,1,1,1,4,4,5,3,1,1,1,1,1,1,2,3,0,0,0,1,0,0,0,3,3,3,1,1,1,1,0,0,0,1,0,1,1,0,0,管一下宁海县摩托车炸街的，天天都有，很烦,138.0
70,92秒,2,2,3,2,5,5,1,,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0,1,1,0,1,0,0,3,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,无,92.0
71,109秒,2,2,2,3,5,5,3,,2,3,3,4,2,5,5,5,2,4,5,5,5,5,5,5,4,4,2,3,1,1,1,0,0,0,0,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,夜间凌晨减少夜市,109.0
72,262秒,2,1,1,2,5,3,3,,2,3,4,3,5,4,3,4,3,4,4,5,5,3,4,5,5,5,3,3,1,0,0,1,0,0,0,2,3,2,1,1,1,1,0,0,1,1,1,0,1,1,0,加强法律对他们行为的处罚，多增派人手巡查,262.0
73,105秒,2,1,2,3,5,6,1,,3,3,5,5,5,5,5,4,1,2,4,5,4,2,5,3,3,5,4,4,1,0,0,0,0,1,0,3,2,2,1,1,1,1,0,1,1,1,1,1,1,1,0,无,105.0
74,836秒,1,2,1,4,8,2,2,,4,4,4,3,3,1,2,2,4,2,3,2,2,2,2,3,3,3,3,3,0,0,0,0,0,0,1,2,3,3,1,1,1,1,1,0,1,1,1,1,1,1,1,白天噪音无所谓,836.0
75,143秒,1,3,2,2,3,3,2,3.0,3,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,5,4,0,0,1,0,0,0,0,4,4,2,0,0,1,0,0,0,0,0,1,0,0,0,0,没问题,143.0
76,112秒,1,3,2,1,8,5,3,,2,3,2,4,2,1,1,1,4,3,5,5,5,5,5,5,5,5,2,3,0,0,0,0,1,0,0,5,5,1,1,1,1,1,0,0,1,1,0,1,0,0,0,无,112.0
77,226秒,1,4,2,1,1,5,2,3.0,3,3,3,2,2,1,1,1,3,4,2,3,3,3,3,3,3,2,3,3,0,0,1,0,0,0,0,2,3,3,1,1,1,1,0,0,0,0,1,1,1,1,0,无,226.0
78,212秒,2,4,2,1,1,5,1,3.0,4,3,2,2,5,1,3,4,2,3,5,5,5,5,5,5,5,5,2,2,1,0,1,0,0,0,0,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,执法力度要加强,212.0
79,242秒,1,4,2,1,3,4,2,3.0,3,3,3,3,2,1,1,2,3,4,3,3,4,5,5,4,3,5,3,3,1,0,1,0,1,0,0,3,1,2,1,1,1,1,0,0,1,0,1,1,0,0,0,没有,242.0
80,105秒,1,2,3,1,5,5,2,,3,1,1,1,1,1,1,1,1,4,3,3,4,3,4,2,2,3,5,5,1,1,1,1,1,1,0,5,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,无,105.0
81,194秒,2,3,2,4,9,2,3,1.0,4,3,1,2,2,2,2,2,4,2,5,5,5,5,5,3,5,3,2,3,0,1,0,1,0,0,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,习惯了不提还好,194.0
82,417秒,2,3,2,4,4,3,1,3.0,4,3,5,1,5,1,1,5,2,1,3,3,3,1,3,1,5,1,5,1,0,1,0,0,0,0,0,5,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,没意见,417.0
83,488秒,2,4,2,5,3,2,3,3.0,5,3,1,1,1,1,1,1,2,1,3,3,3,1,5,3,4,4,5,5,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,没有建议,488.0
84,528秒,2,4,2,5,9,3,2,3.0,3,4,1,4,1,1,1,3,5,3,4,5,4,4,5,3,3,5,2,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,多多下基层,528.0
85,674秒,2,4,2,5,9,2,2,3.0,3,3,2,2,2,2,2,2,3,4,5,5,5,4,5,4,4,5,3,4,1,0,0,0,0,0,1,2,2,3,1,1,1,1,1,0,1,1,1,1,1,0,1,暂无,674.0
86,303秒,2,3,2,3,9,2,1,2.0,4,3,1,1,1,1,1,1,1,3,5,5,5,5,5,1,5,5,4,5,0,0,1,0,1,1,0,3,3,1,1,1,1,1,0,1,1,1,1,1,1,1,0,有噪音施工分段施工,303.0
87,227秒,1,2,3,2,9,3,1,2.0,4,3,3,4,3,3,2,3,3,1,5,5,5,5,5,5,5,5,1,2,1,0,0,0,0,0,0,2,3,2,1,0,0,1,0,0,0,1,1,1,0,0,0,没意见,227.0
88,98秒,1,2,3,4,5,5,1,,3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,4,3,0,1,0,0,1,0,0,4,4,2,0,1,0,0,0,0,1,0,0,0,1,0,0,无,98.0
89,323秒,1,2,1,1,3,6,3,2.0,5,2,3,3,3,3,3,3,1,2,5,5,5,2,2,2,3,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,没有,323.0
90,156秒,1,3,2,4,4,4,3,2.0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0,1,0,0,0,0,0,3,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,多多巡逻,156.0
91,253秒,1,2,2,4,4,4,2,2.0,3,3,3,3,3,5,4,3,3,1,2,3,3,2,3,3,2,5,3,3,1,0,0,0,0,0,0,2,2,2,0,0,1,1,0,0,0,1,0,0,0,1,0,整理下,253.0
92,634秒,1,3,2,5,9,4,1,2.0,4,2,2,2,2,2,2,2,1,2,5,5,5,5,3,3,5,5,3,4,0,1,1,1,0,0,0,3,3,3,0,0,1,0,0,1,1,1,1,1,1,1,0,建议企业单位远离居住的地方,634.0
93,221秒,2,3,2,5,3,4,3,2.0,4,2,4,2,5,5,5,3,1,3,5,2,2,2,2,2,2,3,3,3,0,1,0,0,0,0,1,2,2,3,1,1,1,1,0,1,1,1,1,1,1,1,0,整体上很好,221.0
94,495秒,1,3,2,4,9,2,1,3.0,2,3,4,3,3,3,2,1,3,3,3,5,1,3,3,3,2,2,3,3,1,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,没建议,495.0
95,331秒,1,4,2,4,3,2,2,3.0,4,3,1,1,2,1,1,1,1,1,1,5,5,5,5,3,3,3,4,3,0,0,0,0,0,0,1,3,1,3,0,0,1,0,0,1,1,0,1,1,1,1,0,没有,331.0
96,138秒,2,3,2,1,1,4,2,1.0,3,1,1,1,1,1,2,3,3,3,3,2,2,2,2,1,1,1,2,2,1,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,没有,138.0
97,101秒,2,4,2,3,3,3,1,3.0,4,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,3,2,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,OK,101.0
98,110秒,1,3,2,4,1,5,3,3.0,3,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,2,2,2,0,1,1,0,1,0,0,1,1,1,0,0,0,好的,110.0
99,110秒,1,5,2,3,4,2,2,1.0,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,好了,110.0
100,67秒,2,3,2,5,2,3,2,1.0,3,3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,0,1,0,0,0,0,0,1,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,好了,67.0
101,309秒,2,3,2,4,9,2,3,2.0,4,3,2,1,1,2,2,1,1,2,5,5,5,1,5,5,5,5,2,3,0,1,0,0,0,0,1,2,2,4,1,1,0,0,0,1,0,0,0,1,0,1,1,好的,309.0
102,67秒,1,4,2,1,1,4,2,1.0,3,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,哈喽,67.0
103,65秒,1,4,2,3,3,3,2,2.0,4,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,合格,65.0
104,78秒,1,4,2,2,3,4,2,2.0,3,2,1,1,1,3,3,1,2,3,1,1,1,1,1,1,1,1,2,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,OK,78.0
105,394秒,1,4,2,4,4,3,1,2.0,3,3,3,1,1,2,2,1,2,1,3,2,2,2,2,2,2,2,3,3,1,0,0,0,0,0,0,2,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,依法依规合理人性化治理,394.0
106,102秒,1,2,2,5,3,5,1,2.0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,0,1,1,0,1,0,0,4,4,1,1,1,0,0,0,0,0,0,1,1,0,0,0,无,102.0
107,218秒,2,1,2,4,5,2,3,,4,3,2,1,1,1,1,2,5,4,5,5,5,1,5,5,1,5,2,3,0,0,0,0,0,0,1,3,4,3,0,0,0,1,0,0,0,0,1,1,0,1,0,没有,218.0
108,151秒,2,4,2,4,9,2,3,3.0,3,3,1,1,1,1,1,1,2,1,5,5,5,5,5,5,5,5,2,3,0,0,0,0,0,0,1,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,1,可以,151.0
109,160秒,2,3,2,4,4,2,2,3.0,4,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,4,0,1,0,0,0,0,0,4,4,2,0,1,1,1,0,0,0,0,1,1,1,0,0,没有,160.0
110,104秒,2,2,1,1,5,5,3,,2,3,5,5,5,5,5,5,3,2,5,5,5,5,5,5,5,5,1,3,1,0,1,1,0,0,0,3,3,1,1,1,1,1,0,1,1,1,1,1,0,0,0,加强管理,104.0
111,99秒,1,2,3,1,5,6,2,,1,3,4,5,4,4,1,1,2,2,5,5,5,5,5,5,5,5,2,3,1,1,1,0,0,0,0,5,5,1,1,0,0,0,0,1,1,0,1,0,1,0,0,构建系统化噪声防治巡查部门,99.0
112,224秒,1,2,3,2,5,5,3,,2,3,3,3,3,3,3,3,3,2,4,2,3,2,2,3,4,4,3,3,0,0,0,1,0,0,0,3,3,2,1,1,0,0,0,1,1,1,1,1,1,0,0,无,224.0
113,597秒,1,2,1,2,5,5,1,,4,2,1,2,2,1,2,2,1,1,4,3,4,3,4,3,2,3,5,5,0,0,1,0,0,0,0,2,1,4,1,0,0,1,0,1,0,0,1,1,0,0,0,提高总体素质,597.0
